Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
5906;Mannheim;TMK;01.01.1936;07.05.2023;2922;Gesamt_Messzeitraum;eor;                                                                                                                                   
5906;Mannheim;TXK;01.01.1936;07.05.2023;2922;Gesamt_Messzeitraum;eor;                                                                                                                                   
5906;Mannheim;TNK;01.01.1936;07.05.2023;2922;Gesamt_Messzeitraum;eor;                                                                                                                                   
5906;Mannheim;TGK;01.01.1936;07.05.2023;4;Gesamt_Messzeitraum;eor;                                                                                                                                      
5906;Mannheim;PM;01.01.1936;07.05.2023;2972;Gesamt_Messzeitraum;eor;                                                                                                                                    
5906;Mannheim;FM;01.01.1936;07.05.2023;39;Gesamt_Messzeitraum;eor;                                                                                                                                      
5906;Mannheim;FX;01.01.1936;07.05.2023;55;Gesamt_Messzeitraum;eor;                                                                                                                                      
5906;Mannheim;UPM;01.01.1936;07.05.2023;2957;Gesamt_Messzeitraum;eor;                                                                                                                                   
5906;Mannheim;VPM;01.01.1936;07.05.2023;2957;Gesamt_Messzeitraum;eor;                                                                                                                                   
5906;Mannheim;NM;01.01.1936;07.05.2023;2966;Gesamt_Messzeitraum;eor;                                                                                                                                    
5906;Mannheim;SDK;01.01.1936;07.05.2023;4;Gesamt_Messzeitraum;eor;                                                                                                                                      
5906;Mannheim;RSK;01.01.1936;07.05.2023;2924;Gesamt_Messzeitraum;eor;                                                                                                                                   
5906;Mannheim;RSKF;01.01.1936;07.05.2023;2924;Gesamt_Messzeitraum;eor;                                                                                                                                  
5906;Mannheim;SHK_TAG;01.01.1936;07.05.2023;4675;Gesamt_Messzeitraum;eor;                                                                                                                               
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
5906;Mannheim;TMK;01.01.1939;31.12.1946;2922;Station aufgeloest;eor;                                                                                                                                    
5906;Mannheim;TXK;01.01.1939;31.12.1946;2922;Station aufgeloest;eor;                                                                                                                                    
5906;Mannheim;TNK;01.01.1939;31.12.1946;2922;Station aufgeloest;eor;                                                                                                                                    
