Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
5906;Mannheim;8.45;49.49;95.8;2;19360101;19430930;Minimumthermometer;Temperaturmessung, konv.;eor;
5906;Mannheim;8.51;49.48;96;2;19460801;19471017;Minimumthermometer;Temperaturmessung, konv.;eor;
5906;Mannheim;8.5;49.53;96;2;19471018;19500331;Minimumthermometer;Temperaturmessung, konv.;eor;
5906;Mannheim;8.5;49.53;96;2;19500401;19750813;Minimumthermometer;Temperaturmessung, konv.;eor;
5906;Mannheim;8.55;49.51;96;2;19750814;20060530;Minimumthermometer;Temperaturmessung, konv.;eor;
5906;Mannheim;8.55;49.51;96;2;19930714;20060530;PT 100 (Luft);Temperaturmessung, elektr.;eor;
5906;Mannheim;8.55;49.51;96.1;2;20060531;20060606;PT 100 (Luft);Temperaturmessung, elektr.;eor;
5906;Mannheim;8.55;49.51;96.1;2;20060607;20180402;PT 100 (Luft);Temperaturmessung, elektr.;eor;
5906;Mannheim;8.56;49.51;97.95;2;20180403;20230426;PT 100 (Luft);Temperaturmessung, elektr.;eor;
generiert: 08.05.2023 --  Deutscher Wetterdienst  --
